2020-11-26, 1
2020-11-26, 5
2020-11-26, 6
2020-12-09, 6
2020-12-21, 9
2020-12-27, 8

2020-11-12, 0
2020-11-13, 8
2020-11-23, 3
2020-11-23, 4
2020-11-23, 6
2020-11-23, 7
2020-11-24, 0
2020-11-24, 3
2020-11-24, 7
2020-11-25, 0
2020-12-20, 8
2020-12-27, 0
2020-12-27, 1
2020-12-27, 2
2020-12-27, 3
2020-12-27, 6
2020-12-27, 7
2020-11-13, 7
2020-11-23, 0
2020-11-23, 2
2020-11-23, 5
2020-11-24, 1
2020-11-24, 2
2020-11-24, 6
2020-11-25, 1
2020-11-25, 2
2020-11-25, 3
2020-11-26, 2
2020-11-26, 3
2020-11-26, 4
2020-12-07, 0
2020-12-07, 1
2020-12-07, 3
2020-12-07, 4
2020-12-07, 5
2020-12-07, 6
2020-12-08, 2
2020-12-08, 3
2020-12-08, 4
2020-12-08, 5
2020-12-08, 6
2020-12-09, 0
2020-12-09, 2
2020-12-09, 3
2020-12-09, 8
2020-12-10, 0
2020-12-10, 1
2020-12-10, 3
2020-12-10, 4
2020-12-10, 5
2020-12-10, 6
2020-12-10, 7
